Category In English,User_Id,Mer_Name,Cluster
Fashion,21053,Shankar Traders,1
Fashion,26472,Shankar Traders,5
Fashion,26472,Shankar Traders,5
Fashion,27075,Shankar Traders,1
Fashion,27417,Shankar Traders,1
F&B,1447,Radha Emporium,1
F&B,2709,Radha Emporium,1
F&B,3303,Radha Emporium,1
F&B,7026,Radha Emporium,4
F&B,10231,Radha Emporium,1
F&B,10975,Radha Emporium,1
F&B,14734,Radha Emporium,1
F&B,14823,Radha Emporium,4
F&B,16503,Radha Emporium,1
F&B,31199,Radha Emporium,1
Other,4594,Ganpati Enterprises,5
Other,7039,Ganpati Enterprises,5
Other,10038,Ganpati Enterprises,5
Other,10038,Ganpati Enterprises,5
Other,10840,Ganpati Enterprises,5
Other,21265,Ganpati Enterprises,5
Other,21265,Ganpati Enterprises,5
Other,21702,Ganpati Enterprises,5
Other,26257,Ganpati Enterprises,5
Other,26333,Ganpati Enterprises,5
Other,26333,Ganpati Enterprises,5
Other,26437,Ganpati Enterprises,5
Other,26520,Ganpati Enterprises,5
Other,29328,Ganpati Enterprises,5
Other,33164,Ganpati Enterprises,5
Grocery,7,Saraswati Fabrics,1
Grocery,24,Saraswati Fabrics,1
Grocery,24,Saraswati Fabrics,1
Grocery,38,Saraswati Fabrics,1
Grocery,46,Saraswati Fabrics,1
Grocery,57,Saraswati Fabrics,1
Grocery,59,Saraswati Fabrics,1
Grocery,60,Saraswati Fabrics,1
Grocery,61,Saraswati Fabrics,1
Grocery,74,Saraswati Fabrics,1
Grocery,76,Saraswati Fabrics,1
Grocery,77,Saraswati Fabrics,1
Grocery,86,Saraswati Fabrics,1
Grocery,86,Saraswati Fabrics,1
Grocery,95,Saraswati Fabrics,1
Grocery,97,Saraswati Fabrics,1
Grocery,100,Saraswati Fabrics,1
Grocery,110,Saraswati Fabrics,1
Grocery,112,Saraswati Fabrics,1
Grocery,116,Saraswati Fabrics,1
Grocery,124,Saraswati Fabrics,1
Grocery,125,Saraswati Fabrics,1
Grocery,133,Saraswati Fabrics,1
Grocery,137,Saraswati Fabrics,1
Grocery,143,Saraswati Fabrics,1
Grocery,145,Saraswati Fabrics,1
Grocery,145,Saraswati Fabrics,1
Grocery,154,Saraswati Fabrics,1
Grocery,155,Saraswati Fabrics,1
Grocery,156,Saraswati Fabrics,1
Grocery,161,Saraswati Fabrics,1
Grocery,171,Saraswati Fabrics,1
Grocery,175,Saraswati Fabrics,1
Grocery,195,Saraswati Fabrics,1
Grocery,211,Saraswati Fabrics,1
Grocery,215,Saraswati Fabrics,1
Grocery,222,Saraswati Fabrics,1
Grocery,224,Saraswati Fabrics,1
Grocery,231,Saraswati Fabrics,1
Grocery,232,Saraswati Fabrics,1
Grocery,243,Saraswati Fabrics,1
Grocery,246,Saraswati Fabrics,1
Grocery,249,Saraswati Fabrics,1
Grocery,273,Saraswati Fabrics,1
Grocery,276,Saraswati Fabrics,1
Grocery,277,Saraswati Fabrics,1
Grocery,285,Saraswati Fabrics,1
Grocery,288,Saraswati Fabrics,1
Grocery,302,Saraswati Fabrics,1
Grocery,306,Saraswati Fabrics,1
Grocery,309,Saraswati Fabrics,1
Grocery,310,Saraswati Fabrics,1
Grocery,326,Saraswati Fabrics,1
Grocery,327,Saraswati Fabrics,1
Grocery,330,Saraswati Fabrics,1
Grocery,340,Saraswati Fabrics,1
Grocery,354,Saraswati Fabrics,1
Grocery,354,Saraswati Fabrics,1
Grocery,362,Saraswati Fabrics,1
Grocery,369,Saraswati Fabrics,1
Grocery,386,Saraswati Fabrics,1
Grocery,391,Saraswati Fabrics,1
Grocery,392,Saraswati Fabrics,1
Grocery,398,Saraswati Fabrics,1
Grocery,408,Saraswati Fabrics,1
Grocery,413,Saraswati Fabrics,1
Grocery,430,Saraswati Fabrics,1
Grocery,431,Saraswati Fabrics,1
Grocery,435,Saraswati Fabrics,1
Grocery,442,Saraswati Fabrics,1
Grocery,449,Saraswati Fabrics,1
Grocery,456,Saraswati Fabrics,1
Grocery,457,Saraswati Fabrics,1
Grocery,464,Saraswati Fabrics,1
Grocery,483,Saraswati Fabrics,1
Grocery,489,Saraswati Fabrics,1
Grocery,492,Saraswati Fabrics,1
Grocery,495,Saraswati Fabrics,1
Grocery,506,Saraswati Fabrics,1
Grocery,507,Saraswati Fabrics,1
Grocery,513,Saraswati Fabrics,1
Grocery,513,Saraswati Fabrics,1
Grocery,515,Saraswati Fabrics,1
Grocery,522,Saraswati Fabrics,1
Grocery,532,Saraswati Fabrics,5
Grocery,532,Saraswati Fabrics,5
Grocery,532,Saraswati Fabrics,5
Grocery,532,Saraswati Fabrics,5
Grocery,556,Saraswati Fabrics,1
Grocery,562,Saraswati Fabrics,1
Grocery,563,Saraswati Fabrics,1
Grocery,565,Saraswati Fabrics,1
Grocery,572,Saraswati Fabrics,1
Grocery,575,Saraswati Fabrics,1
Grocery,578,Saraswati Fabrics,1
Grocery,579,Saraswati Fabrics,1
Grocery,600,Saraswati Fabrics,1
Grocery,606,Saraswati Fabrics,1
Grocery,606,Saraswati Fabrics,1
Grocery,610,Saraswati Fabrics,1
Grocery,613,Saraswati Fabrics,1
Grocery,614,Saraswati Fabrics,1
Grocery,616,Saraswati Fabrics,1
Grocery,617,Saraswati Fabrics,1
Grocery,618,Saraswati Fabrics,1
Grocery,623,Saraswati Fabrics,1
Grocery,630,Saraswati Fabrics,1
Grocery,630,Saraswati Fabrics,1
Grocery,631,Saraswati Fabrics,1
Grocery,658,Saraswati Fabrics,1
Grocery,659,Saraswati Fabrics,1
Grocery,668,Saraswati Fabrics,1
Grocery,681,Saraswati Fabrics,1
Grocery,682,Saraswati Fabrics,1
Grocery,692,Saraswati Fabrics,1
Grocery,695,Saraswati Fabrics,1
Grocery,703,Saraswati Fabrics,1
Grocery,704,Saraswati Fabrics,1
Grocery,728,Saraswati Fabrics,1
Grocery,731,Saraswati Fabrics,1
Grocery,731,Saraswati Fabrics,1
Grocery,733,Saraswati Fabrics,1
Grocery,737,Saraswati Fabrics,1
Grocery,744,Saraswati Fabrics,1
Grocery,755,Saraswati Fabrics,1
Grocery,758,Saraswati Fabrics,1
Grocery,763,Saraswati Fabrics,5
Grocery,763,Saraswati Fabrics,5
Grocery,765,Saraswati Fabrics,4
Grocery,767,Saraswati Fabrics,1
Grocery,782,Saraswati Fabrics,1
Grocery,782,Saraswati Fabrics,1
Grocery,793,Saraswati Fabrics,1
Grocery,805,Saraswati Fabrics,1
Grocery,805,Saraswati Fabrics,1
Grocery,813,Saraswati Fabrics,1
Grocery,827,Saraswati Fabrics,1
Grocery,836,Saraswati Fabrics,1
Grocery,838,Saraswati Fabrics,1
Grocery,839,Saraswati Fabrics,1
Grocery,839,Saraswati Fabrics,1
Grocery,840,Saraswati Fabrics,1
Grocery,850,Saraswati Fabrics,1
Grocery,851,Saraswati Fabrics,1
Grocery,868,Saraswati Fabrics,1
Grocery,869,Saraswati Fabrics,1
Grocery,874,Saraswati Fabrics,3
Grocery,874,Saraswati Fabrics,3
Grocery,877,Saraswati Fabrics,1
Grocery,877,Saraswati Fabrics,1
Grocery,888,Saraswati Fabrics,1
Grocery,892,Saraswati Fabrics,1
Grocery,897,Saraswati Fabrics,1
Grocery,905,Saraswati Fabrics,1
Grocery,913,Saraswati Fabrics,1
Grocery,914,Saraswati Fabrics,1
Grocery,927,Saraswati Fabrics,1
Grocery,935,Saraswati Fabrics,1
Grocery,943,Saraswati Fabrics,1
Grocery,949,Saraswati Fabrics,1
Grocery,958,Saraswati Fabrics,1
Grocery,980,Saraswati Fabrics,1
Grocery,982,Saraswati Fabrics,1
Grocery,983,Saraswati Fabrics,1
Grocery,983,Saraswati Fabrics,1
Grocery,992,Saraswati Fabrics,1
Grocery,994,Saraswati Fabrics,1
Grocery,1004,Saraswati Fabrics,1
Grocery,1009,Saraswati Fabrics,1
Grocery,1010,Saraswati Fabrics,1
Grocery,1023,Saraswati Fabrics,1
Grocery,1024,Saraswati Fabrics,1
Grocery,1028,Saraswati Fabrics,1
Grocery,1046,Saraswati Fabrics,1
Grocery,1051,Saraswati Fabrics,1
Grocery,1065,Saraswati Fabrics,1
Grocery,1068,Saraswati Fabrics,1
Grocery,1082,Saraswati Fabrics,1
Grocery,1084,Saraswati Fabrics,1
Grocery,1085,Saraswati Fabrics,1
Grocery,1087,Saraswati Fabrics,1
Grocery,1097,Saraswati Fabrics,1
Grocery,1106,Saraswati Fabrics,1
Grocery,1119,Saraswati Fabrics,1
Grocery,1126,Saraswati Fabrics,1
Grocery,1135,Saraswati Fabrics,1
Grocery,1146,Saraswati Fabrics,1
Grocery,1147,Saraswati Fabrics,1
Grocery,1159,Saraswati Fabrics,1
Grocery,1167,Saraswati Fabrics,1
Grocery,1172,Saraswati Fabrics,1
Grocery,1175,Saraswati Fabrics,1
Grocery,1205,Saraswati Fabrics,1
Grocery,1209,Saraswati Fabrics,1
Grocery,1211,Saraswati Fabrics,1
Grocery,1215,Saraswati Fabrics,1
Grocery,1255,Saraswati Fabrics,1
Grocery,1258,Saraswati Fabrics,1
Grocery,1266,Saraswati Fabrics,1
Grocery,1270,Saraswati Fabrics,1
Grocery,1274,Saraswati Fabrics,1
Grocery,1282,Saraswati Fabrics,1
Grocery,1287,Saraswati Fabrics,1
Grocery,1291,Saraswati Fabrics,1
Grocery,1299,Saraswati Fabrics,1
Grocery,1320,Saraswati Fabrics,1
Grocery,1336,Saraswati Fabrics,1
Grocery,1337,Saraswati Fabrics,1
Grocery,1342,Saraswati Fabrics,1
Grocery,1348,Saraswati Fabrics,1
Grocery,1360,Saraswati Fabrics,1
Grocery,1361,Saraswati Fabrics,1
Grocery,1362,Saraswati Fabrics,1
Grocery,1381,Saraswati Fabrics,1
Grocery,1384,Saraswati Fabrics,1
Grocery,1389,Saraswati Fabrics,1
Grocery,1399,Saraswati Fabrics,1
Grocery,1401,Saraswati Fabrics,1
Grocery,1402,Saraswati Fabrics,1
Grocery,1407,Saraswati Fabrics,1
Grocery,1409,Saraswati Fabrics,1
Grocery,1416,Saraswati Fabrics,1
Grocery,1435,Saraswati Fabrics,1
Grocery,1442,Saraswati Fabrics,1
Grocery,1448,Saraswati Fabrics,1
Grocery,1454,Saraswati Fabrics,1
Grocery,1462,Saraswati Fabrics,1
Grocery,1467,Saraswati Fabrics,1
Grocery,1471,Saraswati Fabrics,1
Grocery,1476,Saraswati Fabrics,1
Grocery,1478,Saraswati Fabrics,1
Grocery,1482,Saraswati Fabrics,1
Grocery,1485,Saraswati Fabrics,1
Grocery,1487,Saraswati Fabrics,1
Grocery,1503,Saraswati Fabrics,1
Grocery,1507,Saraswati Fabrics,1
Grocery,1508,Saraswati Fabrics,1
